Name,Points,Tags,Status,Pomos (25 mins),Do Date,Related To,Relates,Source,Created Time,Last edited time,Problem Statement,Day Completed,Pattern
Words Concatenation,1700,,ok,,"Dec 21, 2020",,,educative.io,"Dec 21, 2020 9:28 AM","May 11, 2021 9:00 AM",,,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Sliding%20Window%2057edd445fc8d49ac98bcd1076bcdd3aa.md"
Squaring a Sorted Array,,,done,,"Dec 21, 2020",,,,"Dec 21, 2020 7:46 PM","Mar 01, 2021 8:38 AM",,,../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md
" Triplet sum to zero",,,done,,"Dec 22, 2020",,,,"Dec 22, 2020 9:21 AM","Mar 01, 2021 8:38 AM",,,../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md
Pair with the target sum,800,,done,,"Dec 22, 2020",,,,"Dec 22, 2020 9:30 AM","Mar 01, 2021 3:43 PM",,,"../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md, ../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md"
Triplet Sum Less than the target,,,waiting,,,,,,"Dec 22, 2020 9:34 AM","May 20, 2021 9:56 AM",,,../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md
Minimum Window Sort (medium),1600,,done,1,"Dec 22, 2020",,,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,"Dec 22, 2020 10:49 AM","Mar 01, 2021 3:43 PM",,,"../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md, ../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md"
Partition Labels - Leetcode,1600,interval,done,1,"Jan 09, 2021",https://www.notion.so/Activity-Selection-Problem-b98e4f278b8745d182d05ec2bebc05ef,https://www.notion.so/Delivering-Boxes-from-Storage-to-Ports-9dd9d38372434fcfb2d66302b6114425,https://leetcode.com/problems/partition-labels/,"Dec 22, 2020 11:16 AM","Mar 04, 2021 8:12 AM",,,"../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md, ../String%2031fee88325084b2db1f8d82cce81360c.md, ../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Intervals%20ebd124f2083d4f999c01b25e664d9e01.md"
Insert Interval,,,done,,"Dec 22, 2020",,,https://leetcode.com/problems/insert-interval/,"Dec 22, 2020 11:48 AM","Mar 04, 2021 8:12 AM",,,../Intervals%20ebd124f2083d4f999c01b25e664d9e01.md
Perfect Squares | binarysearch,1200,,ok,,"Dec 22, 2020",,,https://binarysearch.com/problems/Perfect-Squares,"Dec 22, 2020 5:59 PM","May 11, 2021 9:01 AM",Write a program that determines the smallest number of square numbers that sum up to n.,,"../Dp%2071e29475df134130a63445f5437e90ee.md, ../Number%20Theory%2002e26369bab8475881b8a6a9d7b33ca9.md, ../Linear%20DP%2040f64e6224704d17972aa352dc735edb.md"
A Maniacal Walk,1800,"new, number of paths",ok,1,"Dec 22, 2020",,,https://binarysearch.com/problems/A-Maniacal-Walk,"Dec 22, 2020 10:28 PM","May 11, 2021 9:01 AM",,,"../Dp%2071e29475df134130a63445f5437e90ee.md, ../Number%20Theory%2002e26369bab8475881b8a6a9d7b33ca9.md, ../Linear%20DP%2040f64e6224704d17972aa352dc735edb.md"
Stock span problem | Practice | GeeksforGeeks,1500,de shaw,done,,,,,https://practice.geeksforgeeks.org/problems/stock-span-problem/0,"Dec 24, 2020 4:58 PM","Dec 25, 2020 7:06 PM",,,
kth Maximum Element in a bst,2000,de shaw,ok,,,,,,"Dec 24, 2020 5:45 PM","May 11, 2021 9:11 AM",,,../Binary%20Tree%202b7ef3f8a3684c2c8790ae61ff7ddaea.md
Convert BST to Max Heap - GeeksforGeeks,1200,"de shaw, new",ok,,,,,https://www.geeksforgeeks.org/convert-bst-to-max-heap/,"Dec 24, 2020 5:52 PM","Dec 24, 2020 6:49 PM",,,
Find the second highest salary sql query,800,de shaw,waiting,,,,,,"Dec 25, 2020 3:50 PM","Feb 18, 2021 7:45 AM",,,
Find minimum moves in a matrix,1700,"de shaw, shortest path",done,,,https://www.notion.so/Shortest-Path-in-a-Grid-with-k-Obstacles-Elimination-Leetcode-9fb9f1557e3f49fe94384c5f87eddfcc,,,"Dec 25, 2020 5:09 PM","Mar 01, 2021 3:42 PM",,,"../Matrix%204e063cbec5124ef1af380e9e5daf8ffb.md, ../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md"
Find the maximum number of overlaps in intervals,1700,"microsoft, new, nlogn, standard",done,1,"Dec 25, 2020",,,https://practice.geeksforgeeks.org/problems/maximum-intervals-overlap/0#,"Dec 25, 2020 8:04 PM","Mar 04, 2021 8:12 AM",,,"../Cumulative%2073b8950eb0ab42228e72265c36aec690.md, ../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Intervals%20ebd124f2083d4f999c01b25e664d9e01.md"
